pmid,year,title,journal,screen_reason,url
32437381,2020,"Influence of the pandemic dissemination of COVID-19 on radiotherapy practice: A flash survey in Germany, Austria and Switzerland.",PloS one,no ultra-high-dose-rate signature (rad signal=3),https://pubmed.ncbi.nlm.nih.gov/32437381/
32334257,2020,Enhanced photodegradation of applied dithianon fungicides on plant leaves by dissolved substances in atmosphere under simulated sunlight.,Chemosphere,no radiation signal + off-topic term: chromatograph,https://pubmed.ncbi.nlm.nih.gov/32334257/
32330301,2020,Quantitative imaging performance of MARS spectral photon-counting CT for radiotherapy.,Medical physics,MR/CT imaging 'FLASH': dual-source CT,https://pubmed.ncbi.nlm.nih.gov/32330301/
32326045,2020,Targeting the Epigenetic Non-Coding RNA MALAT1/Wnt Signaling Axis as a Therapeutic Approach to Suppress Stemness and Metastasis in Hepatocellular Carcinoma.,Cells,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/32326045/
32309952,2020,"3-Nitrene-2-formylthiophene and 3-Nitrene-2-formylfuran: Matrix Isolation, Conformation, and Rearrangement Reactions.",The journal of physical chemistry. A,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/32309952/
32307364,2020,[Organ-based Tube-current Modulation Applied on Different MDCT Scanners: Reduction in the Radiation Dose to the Eye Lens at Head CT].,Nihon Hoshasen Gijutsu Gakkai zasshi,MR/CT imaging 'FLASH': SOMATOM,https://pubmed.ncbi.nlm.nih.gov/32307364/
32286868,2020,Reducing Radiation Dose and Contrast Medium Volume With Application of Dual-Energy CT in Children and Young Adults.,AJR. American journal of roentgenology,MR/CT imaging 'FLASH': dual-source CT,https://pubmed.ncbi.nlm.nih.gov/32286868/
32199141,2020,Peak skin and eye lens radiation dose from brain perfusion CT: CTDIvol and Monte Carlo based estimations.,European journal of radiology,named entity called FLASH (laser / MRI sequence / CT / product),https://pubmed.ncbi.nlm.nih.gov/32199141/
32187695,2020,Flow path system of ultraviolet C irradiation from xenon flash to reduce bacteria survival in platelet products containing a platelet additive solution.,Transfusion,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/32187695/
32166853,2020,Triplet Energy Transfer from Ruthenium Complexes to Chiral Eniminium Ions: Enantioselective Synthesis of Cyclobutanecarbaldehydes by [2+2] Photocycloaddition.,Angewandte Chemie (International ed. in English),off-topic title subject: cycloadd,https://pubmed.ncbi.nlm.nih.gov/32166853/
32161966,2020,CHARACTERIZATION OF TWO CT SYSTEMS USING A CHANNELIZED HOTELLING OBSERVER AND NPS METRIC.,Radiation protection dosimetry,MR/CT imaging 'FLASH': Somatom,https://pubmed.ncbi.nlm.nih.gov/32161966/
32069439,2020,Phase-dependent gas sensitivity of MoS2 chemical sensors investigated with phase-locked MoS2.,Nanotechnology,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/32069439/
32064675,2020,Sulfonated Pyrene as a Photoregulator for Single-Stranded DNA Looping.,"Chemistry (Weinheim an der Bergstrasse, Germany)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/32064675/
32031409,2020,Intrinsic Buffer Hydroxyl Radical Dosimetry Using Tris(hydroxymethyl)aminomethane.,Journal of the American Society for Mass Spectrometry,off-topic sense of 'flash': flash photolysis of,https://pubmed.ncbi.nlm.nih.gov/32031409/
31977196,2020,Redox-Active Bis-Cyclometalated Iridium(III) Complex as a DNA Photo-Cleaving Agent.,Inorganic chemistry,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/31977196/
31879870,2020,Sustainable application of cochineal-based anthraquinone dye for the coloration of bio-mordanted silk fabric.,Environmental science and pollution research international,no radiation signal + off-topic term: microwave-assisted,https://pubmed.ncbi.nlm.nih.gov/31879870/
31850431,2020,"Photochemistry of tris(2,3,5,6-tetrathiaaryl)methyl radicals in various solutions.",Physical chemistry chemical physics : PCCP,off-topic sense of 'flash': flash photolysis of,https://pubmed.ncbi.nlm.nih.gov/31850431/
31829548,2020,Labeling of Proteins by BODIPY-Quinone Methides Utilizing Anti-Kasha Photochemistry.,ACS applied materials & interfaces,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/31829548/
31686317,2020,In vivo radiation dosimetry and image quality of turbo-flash and retrospective dual-source CT coronary angiography.,La Radiologia medica,MR/CT imaging 'FLASH': turbo-flash,https://pubmed.ncbi.nlm.nih.gov/31686317/
31627030,2020,Using Robust Optimization for Skin Flashing in Intensity Modulated Radiation Therapy for Breast Cancer Treatment: A Feasibility Study.,Practical radiation oncology,aperture/planning 'flash': manual flash,https://pubmed.ncbi.nlm.nih.gov/31627030/
31728465,2019,Spectroscopic identification of the phenyltelluryl radical and its reactivity toward molecular oxygen.,Physical chemistry chemical physics : PCCP,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/31728465/
31668013,2019,Environmentally Robust Memristor Enabled by Lead-Free Double Perovskite for High-Performance Information Storage.,"Small (Weinheim an der Bergstrasse, Germany)",off-topic sense of 'flash': flash memory,https://pubmed.ncbi.nlm.nih.gov/31668013/
31469553,2019,"Enhanced Photooxidation of Hydroquinone by Acetylacetone, a Novel Photosensitizer and Electron Shuttle.",Environmental science & technology,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/31469553/
31442324,2019,"Organ doses from CT localizer radiographs: Development, validation, and application of a Monte Carlo estimation technique.",Medical physics,MR/CT imaging 'FLASH': SOMATOM,https://pubmed.ncbi.nlm.nih.gov/31442324/
31419987,2019,miR-504 suppresses mesenchymal phenotype of glioblastoma by directly targeting the FZD7-mediated Wnt-β-catenin pathway.,Journal of experimental & clinical cancer research : CR,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/31419987/
31344624,2019,Phenanthrene degradation using Fe(III)-EDDS photoactivation under simulated solar light: A model for soil washing effluent treatment.,Chemosphere,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/31344624/
31298243,2019,Evidence of the effectiveness of Resveratrol in the prevention of guanine one-electron oxidation: possible benefits in cancer prevention.,Physical chemistry chemical physics : PCCP,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/31298243/
31280443,2019,Photochemical reaction kinetics and mechanistic investigations of nitrous acid with sulfamethazine in tropospheric water.,Environmental science and pollution research international,no radiation signal + off-topic term: chromatograph,https://pubmed.ncbi.nlm.nih.gov/31280443/
31233267,2019,Phosphorus Analogues of Methyl Nitrite and Nitromethane: CH3 OPO and CH3 PO2.,Angewandte Chemie (International ed. in English),no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/31233267/
31221409,2019,Pseudo skin flash on VMAT in breast radiotherapy: Optimization of virtual bolus thickness and HU values.,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/31221409/
31201327,2019,Chromoselective access to Z- or E- allylated amines and heterocycles by a photocatalytic allylation reaction.,Nature communications,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/31201327/
31162518,2019,Photoelimination of nitrogen from adamantane and pentacycloundecane (PCU) diazirines: a spectroscopic study and supramolecular control.,Photochemical & photobiological sciences : Official journal of the European Photochemistry Association and the European Society for Photobiology,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/31162518/
31105058,2019,Altered activation of integrin ɑIIbβ3 on platelets irradiated with ultraviolet C from pathogen-reducing xenon flash.,Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis,no topic keywords and no radiation signal,https://pubmed.ncbi.nlm.nih.gov/31105058/
31089158,2019,Phenomenological modelling of non-volatile memory threshold voltage shift induced by nonlinear ionization with a femtosecond laser.,Scientific reports,no radiation signal + off-topic term: semiconductor,https://pubmed.ncbi.nlm.nih.gov/31089158/
31087768,2019,"In regards to Bogue J, Wan J, Lavey RS, Parsai EI. Dosimetric comparison of VMAT with integrated skin flash to 3D field-in-field tangents for left breast irradiation. Journal of applied clinical medical physics. 2019 Feb;20(2):24-9.",Journal of applied clinical medical physics,aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/31087768/
31065848,2019,Ocular safety evaluation of blue light scleral cross-linking in vivo in rhesus macaques.,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/31065848/
31059596,2019,Laser-Induced Wurtz-Type Syntheses with a Metal-Free Photoredox Catalytic Source of Hydrated Electrons.,"Chemistry (Weinheim an der Bergstrasse, Germany)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/31059596/
31053514,2019,Whole breast radiotherapy in the isocentric lateral decubitus position: Role of the immobilization device and table on clinical results.,Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique,no ultra-high-dose-rate signature (rad signal=3),https://pubmed.ncbi.nlm.nih.gov/31053514/
31006410,2019,"Oxylipin concentration, but not fatty acid composition, is altered in human donor milk pasteurised using both thermal and non-thermal techniques.",The British journal of nutrition,no radiation signal + off-topic term: chromatograph,https://pubmed.ncbi.nlm.nih.gov/31006410/
30882197,2019,Intense Pulsed Light Annealing Process of Indium-Gallium-Zinc-Oxide Semiconductors via Flash White Light Combined with Deep-UV and Near-Infrared Drying for High-Performance Thin-Film Transistors.,ACS applied materials & interfaces,no radiation signal + off-topic term: semiconductor,https://pubmed.ncbi.nlm.nih.gov/30882197/
30876341,2019,Selectivity in the Photo-Fries Rearrangement of Some Aryl Benzoates in Green and Sustainable Media. Preparative and Mechanistic Studies.,The Journal of organic chemistry,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/30876341/
30869720,2019,Nanoscale investigation of improved triboelectric properties of UV-irradiated ultrananocrystalline diamond films.,Nanoscale,off-topic sense of 'flash': flash memory,https://pubmed.ncbi.nlm.nih.gov/30869720/
30831718,2019,Fluorescent scanning thermal microscope based on a Blu-ray optical head to measure thermal diffusivity of radioactive samples.,The Review of scientific instruments,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/30831718/
30820496,2019,Competing photochemical reactions of bis-naphthols and their photoinduced antiproliferative activity.,Photochemical & photobiological sciences : Official journal of the European Photochemistry Association and the European Society for Photobiology,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/30820496/
30811010,2019,Are the recorded data of flash glucose monitoring systems influenced by radiological examinations?,Radiological physics and technology,curator override: manually excluded,https://pubmed.ncbi.nlm.nih.gov/30811010/
30774874,2019,"Conformer-specific [1,2]H-tunnelling in captodatively-stabilized cyanohydroxycarbene (NC-C[combining umlaut]-OH).",Chemical science,off-topic title subject: carbene,https://pubmed.ncbi.nlm.nih.gov/30774874/
30770541,2019,High Hydrostatic Pressure Processing Better Preserves the Nutrient and Bioactive Compound Composition of Human Donor Milk.,The Journal of nutrition,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/30770541/
30724062,2019,Unveiling the Photophysical and Photochemical Reaction Process of Naproxen via Ultrafast Femtosecond to Nanosecond Laser Flash Photolysis.,Chemical research in toxicology,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/30724062/
30690232,2019,Photochemical degradation kinetics and mechanism of short-chain chlorinated paraffins in aqueous solution: A case of 1-chlorodecane.,"Environmental pollution (Barking, Essex : 1987)",no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/30690232/
30653831,2019,Dosimetric comparison of VMAT with integrated skin flash to 3D field-in-field tangents for left breast irradiation.,Journal of applied clinical medical physics,aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/30653831/
30508275,2019,CARE Dose 4D combined with sinogram-affirmed iterative reconstruction improved the image quality and reduced the radiation dose in low dose CT of the small intestine.,Journal of applied clinical medical physics,MR/CT imaging 'FLASH': SOMATOM,https://pubmed.ncbi.nlm.nih.gov/30508275/
30478814,2019,Radiation dose and image quality with new protocol in lower extremity computed tomography angiography.,La Radiologia medica,MR/CT imaging 'FLASH': dual-source CT,https://pubmed.ncbi.nlm.nih.gov/30478814/
30411713,2019,Electron induced nanoscale engineering of rutile TiO2 surfaces.,Nanotechnology,no radiation signal + off-topic term: flash anneal,https://pubmed.ncbi.nlm.nih.gov/30411713/
30403297,2019,Quenching of the Singlet and Triplet Excited States of Pterin by Amino Acids.,Photochemistry and photobiology,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/30403297/
30389413,2019,Optimal selection of optimization bolus thickness in planning of VMAT breast radiotherapy treatments.,Medical dosimetry : official journal of the American Association of Medical Dosimetrists,aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/30389413/
30384293,2019,"Activation of peroxymonosulfate by BiOCl@Fe3O4 catalyst for the degradation of atenolol: Kinetics, parameters, products and mechanism.",Chemosphere,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/30384293/
30225812,2019,Distinct UV-A or UV-B irradiation induces protochlorophyllide photoreduction and bleaching in dark-grown pea (Pisum sativum L.) epicotyls.,Photosynthesis research,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/30225812/
30182297,2019,3D-MRI versus 3D-CT in the evaluation of osseous anatomy in femoroacetabular impingement using Dixon 3D FLASH sequence.,Skeletal radiology,MR/CT imaging 'FLASH': FLASH sequence,https://pubmed.ncbi.nlm.nih.gov/30182297/
29500108,2019,Integrated skin flash planning technique for intensity-modulated radiation therapy for vulvar cancer prevents marginal misses and improves superficial dose coverage.,Medical dosimetry : official journal of the American Association of Medical Dosimetrists,aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/29500108/
30460849,2018,Photocyclization of Tetra- and Pentapeptides Containing Adamantylphthalimide and Phenylalanines: Reaction Efficiency and Diastereoselectivity.,The Journal of organic chemistry,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/30460849/
30376883,2018,"Commentary regarding ""on-orbit sleep problems of astronauts and countermeasures"".",Military Medical Research,off-topic sense of 'flash': light flash,https://pubmed.ncbi.nlm.nih.gov/30376883/
35558941,2018,The first morphologically controlled synthesis of a nanocomposite of graphene oxide with cobalt tin oxide nanoparticles.,RSC advances,off-topic sense of 'flash': flash point,https://pubmed.ncbi.nlm.nih.gov/35558941/
30351095,2018,Decomposition of Sulfonyl Azide Isocyanate and Sulfonyl Diazide: The Oxygen-Shifted Curtius Rearrangement via Sulfonyl Nitrenes.,The journal of physical chemistry. A,off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/30351095/
30301345,2018,Methoxyphosphinidene and Isomeric Methylphosphinidene Oxide.,Journal of the American Chemical Society,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/30301345/
30266971,2018,Two step porosification of biomimetic thin-film hydroxyapatite/alpha-tri calcium phosphate coatings by pulsed electron beam irradiation.,Scientific reports,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/30266971/
30242274,2018,Guided Slow Continuous Suspension Film Flow for Mass Production of Submicrometer Spherical Particles by Pulsed Laser Melting in Liquid.,Scientific reports,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/30242274/
30240591,2018,Towards high-throughput fast photochemical oxidation of proteins: Quantifying exposure in high fluence microtiter plate photolysis.,Analytical biochemistry,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/30240591/
30187409,2018,Photochemical oxidation of di-n-butyl phthalate in atmospheric hydrometeors by hydroxyl radicals from nitrous acid.,Environmental science and pollution research international,no radiation signal + off-topic term: chromatograph,https://pubmed.ncbi.nlm.nih.gov/30187409/
30114137,2018,Mechanism of single-shot damage of Ru thin films irradiated by femtosecond extreme UV free-electron laser.,Optics express,no radiation signal + off-topic term: thin film,https://pubmed.ncbi.nlm.nih.gov/30114137/
30095568,2018,Craniofacial Flash: Minimizing Radiation Dose in Pediatric Craniofacial Computed Tomography.,The Journal of craniofacial surgery,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/30095568/
30081214,2018,Photosensitisation by voriconazole-N-oxide results from a sequence of solvent and pH-dependent photochemical and thermal reactions.,"Journal of photochemistry and photobiology. B, Biology",no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/30081214/
29989805,2018,"Phenylsulfinyl Radical: Gas-Phase Generation, Photoisomerization, and Oxidation.",Journal of the American Chemical Society,off-topic title subject: photoisomeri,https://pubmed.ncbi.nlm.nih.gov/29989805/
29978548,2018,Dosimetric effects of anatomical deformations and positioning errors in VMAT breast radiotherapy.,Journal of applied clinical medical physics,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/29978548/
29959819,2018,Safety and benefit of using a virtual bolus during treatment planning for breast cancer treated with arc therapy.,Journal of applied clinical medical physics,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/29959819/
29940106,2018,Selective Wavelength Plasmonic Flash Light Welding of Silver Nanowires for Transparent Electrodes with High Conductivity.,ACS applied materials & interfaces,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/29940106/
29782667,2018,Synergies of Electrochemical Metallization and Valance Change in All-Inorganic Perovskite Quantum Dots for Resistive Switching.,"Advanced materials (Deerfield Beach, Fla.)",off-topic sense of 'flash': flash memory,https://pubmed.ncbi.nlm.nih.gov/29782667/
29762055,2018,"Evaluating the effect of increased pitch, iterative reconstruction and dual source CT on dose reduction and image quality.",The British journal of radiology,MR/CT imaging 'FLASH': dual source CT,https://pubmed.ncbi.nlm.nih.gov/29762055/
29729075,2018,Relationship between size-specific dose estimates and image quality in computed tomography depending on patient size.,Journal of applied clinical medical physics,MR/CT imaging 'FLASH': SOMATOM,https://pubmed.ncbi.nlm.nih.gov/29729075/
29709185,2018,Phosphorescence Kinetics of Singlet Oxygen Produced by Photosensitization in Spherical Nanoparticles. Part II. The Case of Hypericin-Loaded Low-Density Lipoprotein Particles.,The journal of physical chemistry. B,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/29709185/
29676024,2018,Multihydroxy-Anthraquinone Derivatives as Free Radical and Cationic Photoinitiators of Various Photopolymerizations under Green LED.,Macromolecular rapid communications,off-topic title subject: photopolymeri,https://pubmed.ncbi.nlm.nih.gov/29676024/
29642705,2018,Durian-Shaped CdS@ZnSe Core@Mesoporous-Shell Nanoparticles for Enhanced and Sustainable Photocatalytic Hydrogen Evolution.,The journal of physical chemistry letters,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/29642705/
29584951,2018,Reversible Valence Photoisomerization between Closed-Shell Quinoidal and Open-Shell Biradical Forms.,The journal of physical chemistry letters,off-topic title subject: photoisomeri,https://pubmed.ncbi.nlm.nih.gov/29584951/
29578623,2018,Spectroscopic Identification of H2 NSO and syn- and anti-HNSOH Radicals.,Angewandte Chemie (International ed. in English),off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/29578623/
29559293,2018,Effects of Synchrotron X-Ray Micro-beam Irradiation on Normal Mouse Ear Pinnae.,"International journal of radiation oncology, biology, physics","spatially fractionated RT, not UHDR: Micro-beam",https://pubmed.ncbi.nlm.nih.gov/29559293/
29554524,2018,A mechanistic study on the potential of quinolinium salts as photocatalysts for the abatement of chlorinated pollutants.,Journal of hazardous materials,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/29554524/
29488999,2018,XUV photodesorption of carbon cluster ions and ionic photofragments from a mixed methane-water ice.,Physical chemistry chemical physics : PCCP,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/29488999/
29475151,2018,CT-angiography of the aorta in patients with Marfan disease - High-pitch MDCT at different levels of tube voltage combined with Sinogram Affirmed Iterative Reconstruction.,Clinical imaging,MR/CT imaging 'FLASH': High-pitch,https://pubmed.ncbi.nlm.nih.gov/29475151/
29459544,2018,[Comparison of Organ Dose Calculation Using Monte Carlo Simulation and In-phantom Dosimetry in CT Examination].,Nihon Hoshasen Gijutsu Gakkai zasshi,MR/CT imaging 'FLASH': SOMATOM,https://pubmed.ncbi.nlm.nih.gov/29459544/
29441618,2018,Enhanced Drug Photosafety by Interchromophoric Interaction Owing to Intramolecular Charge Separation.,"Chemistry (Weinheim an der Bergstrasse, Germany)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/29441618/
29431286,2018,Spectroscopic Evidence for Aminomethylene (H-C̈-NH2 )-The Simplest Amino Carbene.,Angewandte Chemie (International ed. in English),off-topic title subject: carbene,https://pubmed.ncbi.nlm.nih.gov/29431286/
29426364,2018,RHBDD1 promotes colorectal cancer metastasis through the Wnt signaling pathway and its downstream target ZEB1.,Journal of experimental & clinical cancer research : CR,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/29426364/
29384165,2018,Photochemical transformation of dimethyl phthalate (DMP) with N(iii)(H2ONO+/HONO/NO2-) in the atmospheric aqueous environment.,Photochemical & photobiological sciences : Official journal of the European Photochemistry Association and the European Society for Photobiology,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/29384165/
29353833,2018,[Evaluation of Organ Dose Estimation from Indices of CT Dose Using Dose Index Registry].,Nihon Hoshasen Gijutsu Gakkai zasshi,MR/CT imaging 'FLASH': SOMATOM,https://pubmed.ncbi.nlm.nih.gov/29353833/
29307182,2018,Photoinduced Sulfur-Nitrogen Bond Rotation and Thermal Nitrogen Inversion in Heterocumulene OSNSO.,Journal of the American Chemical Society,off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/29307182/
29271755,2018,Experimental study of EUV mirror radiation damage resistance under long-term free-electron laser exposures below the single-shot damage threshold.,Journal of synchrotron radiation,no radiation signal + off-topic term: thin film,https://pubmed.ncbi.nlm.nih.gov/29271755/
29231758,2018,Dose Reduction With Dedicated CT Metal Artifact Reduction Algorithm: CT Phantom Study.,AJR. American journal of roentgenology,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/29231758/
29198119,2018,Synthesis of Fluorescent Au Nanocrystals-Silica Hybrid Nanocomposite (FLASH) with Enhanced Optical Features for Bioimaging and Photodynamic Activity.,Langmuir : the ACS journal of surfaces and colloids,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/29198119/
29134674,2018,Experimental validation of two dual-energy CT methods for proton therapy using heterogeneous tissue samples.,Medical physics,MR/CT imaging 'FLASH': dual-source CT,https://pubmed.ncbi.nlm.nih.gov/29134674/
29083511,2018,The Trifluoromethyl Sulfinyl and Oxathiyl Radicals.,"Chemistry (Weinheim an der Bergstrasse, Germany)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/29083511/
29383293,2017,A Pilot Study in the Use of Activity Trackers for Assessing Response to Palliative Radiotherapy.,Cureus,no ultra-high-dose-rate signature (rad signal=2),https://pubmed.ncbi.nlm.nih.gov/29383293/
29225232,2017,"Effect of Ultraviolet Irradiation on Proton Transfer Facilitated by 5,10,15,20-Tetraphenyl-21H,23H-porphine and Its Metal Complexes at a Water/1,2-Dichloroethane Interface.",Analytical sciences : the international journal of the Japan Society for Analytical Chemistry,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/29225232/
29069546,2017,Contrasting Photolytic and Thermal Decomposition of Phenyl Azidoformate: The Curtius Rearrangement Versus Intramolecular C-H Amination.,The journal of physical chemistry. A,off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/29069546/
29067142,2017,Intermittent 96-Hour Auricular Electroacupuncture for Hot Flashes in Patients with Prostate Cancer: A Pilot Study.,Medical acupuncture,off-topic sense of 'flash': hot flash,https://pubmed.ncbi.nlm.nih.gov/29067142/
28963500,2017,"Rapid, cool sintering of wet processed yttria-stabilized zirconia ceramic electrolyte thin films.",Scientific reports,no radiation signal + off-topic term: thin film,https://pubmed.ncbi.nlm.nih.gov/28963500/
28942233,2017,"Comparison of radiation doses imparted during 128-, 256-, 384-multislice CT-scanners and cone beam computed tomography for intra- and perioperative cochlear implant assessment.",American journal of otolaryngology,MR/CT imaging 'FLASH': Somatom,https://pubmed.ncbi.nlm.nih.gov/28942233/
28923730,2017,Kinetics analysis of interfacial electron-transfer processes in goethite suspensions systems.,Chemosphere,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/28923730/
28872716,2017,"Parent Thioketene S-Oxide H2 CCSO: Gas-Phase Generation, Structure, and Bonding Analysis.","Chemistry (Weinheim an der Bergstrasse, Germany)",off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/28872716/
28848985,2017,Laser flash photolysis of nanocrystalline α-azido-p-methoxy-acetophenone.,Organic & biomolecular chemistry,off-topic sense of 'flash': flash photolysis of,https://pubmed.ncbi.nlm.nih.gov/28848985/
28786686,2017,Detection of Fleeting Amine Radical Cations and Elucidation of Chain Processes in Visible-Light-Mediated [3 + 2] Annulation by Online Mass Spectrometric Techniques.,Journal of the American Chemical Society,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/28786686/
28777569,2017,Direct Irradiaton of Aryl Sulfides: Homolytic Fragmentation and Sensitized S-Oxidation.,The Journal of organic chemistry,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/28777569/
28771351,2017,Photoinduced Reversible Electron Transfer Between the Benzhydryl Radical and Benzhydryl Cation in Amorphous Water-Ice.,The journal of physical chemistry. A,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/28771351/
28636511,2017,Feasibility of low-dose coronary computed tomographic angiography used in atrial fibrillation patients.,Acta cardiologica,MR/CT imaging 'FLASH': high-pitch,https://pubmed.ncbi.nlm.nih.gov/28636511/
28635174,2017,Flash Light Millisecond Self-Assembly of High χ Block Copolymers for Wafer-Scale Sub-10 nm Nanopatterning.,"Advanced materials (Deerfield Beach, Fla.)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/28635174/
28633106,2017,Selective photocytotoxicity of anthrols on cancer stem-like cells: The effect of quinone methides or reactive oxygen species.,European journal of medicinal chemistry,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/28633106/
28621378,2017,The hypothiocyanite radical OSCN and its isomers.,Physical chemistry chemical physics : PCCP,off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/28621378/
28553497,2017,"Mapping a protein recognition centre with chiral photoactive ligands. An integrated approach combining photophysics, reactivity, proteomics and molecular dynamics simulation studies.",Chemical science,no radiation signal + off-topic term: chromatograph,https://pubmed.ncbi.nlm.nih.gov/28553497/
28545957,2017,Irradiation in a flash: Unique sparing of memory in mice after whole brain irradiation with dose rates above 100Gy/s.,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,no ultra-high-dose-rate signature (rad signal=5),https://pubmed.ncbi.nlm.nih.gov/28545957/
28534631,2017,Photochemical Formation of Anthracene Quinone Methide Derivatives.,The Journal of organic chemistry,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/28534631/
