pmid,year,title,journal,screen_reason,url
32326045,2020,Targeting the Epigenetic Non-Coding RNA MALAT1/Wnt Signaling Axis as a Therapeutic Approach to Suppress Stemness and Metastasis in Hepatocellular Carcinoma.,Cells,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/32326045/
32309952,2020,"3-Nitrene-2-formylthiophene and 3-Nitrene-2-formylfuran: Matrix Isolation, Conformation, and Rearrangement Reactions.",The journal of physical chemistry. A,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/32309952/
32187695,2020,Flow path system of ultraviolet C irradiation from xenon flash to reduce bacteria survival in platelet products containing a platelet additive solution.,Transfusion,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/32187695/
32166853,2020,Triplet Energy Transfer from Ruthenium Complexes to Chiral Eniminium Ions: Enantioselective Synthesis of Cyclobutanecarbaldehydes by [2+2] Photocycloaddition.,Angewandte Chemie (International ed. in English),off-topic title subject: cycloadd,https://pubmed.ncbi.nlm.nih.gov/32166853/
32069439,2020,Phase-dependent gas sensitivity of MoS2 chemical sensors investigated with phase-locked MoS2.,Nanotechnology,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/32069439/
32064675,2020,Sulfonated Pyrene as a Photoregulator for Single-Stranded DNA Looping.,"Chemistry (Weinheim an der Bergstrasse, Germany)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/32064675/
31977196,2020,Redox-Active Bis-Cyclometalated Iridium(III) Complex as a DNA Photo-Cleaving Agent.,Inorganic chemistry,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/31977196/
31879870,2020,Sustainable application of cochineal-based anthraquinone dye for the coloration of bio-mordanted silk fabric.,Environmental science and pollution research international,no radiation signal + off-topic term: microwave-assisted,https://pubmed.ncbi.nlm.nih.gov/31879870/
31850431,2020,"Photochemistry of tris(2,3,5,6-tetrathiaaryl)methyl radicals in various solutions.",Physical chemistry chemical physics : PCCP,off-topic sense of 'flash': flash photolysis of,https://pubmed.ncbi.nlm.nih.gov/31850431/
31627030,2020,Using Robust Optimization for Skin Flashing in Intensity Modulated Radiation Therapy for Breast Cancer Treatment: A Feasibility Study.,Practical radiation oncology,aperture/planning 'flash': manual flash,https://pubmed.ncbi.nlm.nih.gov/31627030/
31728465,2019,Spectroscopic identification of the phenyltelluryl radical and its reactivity toward molecular oxygen.,Physical chemistry chemical physics : PCCP,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/31728465/
31668013,2019,Environmentally Robust Memristor Enabled by Lead-Free Double Perovskite for High-Performance Information Storage.,"Small (Weinheim an der Bergstrasse, Germany)",off-topic sense of 'flash': flash memory,https://pubmed.ncbi.nlm.nih.gov/31668013/
31469553,2019,"Enhanced Photooxidation of Hydroquinone by Acetylacetone, a Novel Photosensitizer and Electron Shuttle.",Environmental science & technology,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/31469553/
31419987,2019,miR-504 suppresses mesenchymal phenotype of glioblastoma by directly targeting the FZD7-mediated Wnt-β-catenin pathway.,Journal of experimental & clinical cancer research : CR,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/31419987/
31344624,2019,Phenanthrene degradation using Fe(III)-EDDS photoactivation under simulated solar light: A model for soil washing effluent treatment.,Chemosphere,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/31344624/
31298243,2019,Evidence of the effectiveness of Resveratrol in the prevention of guanine one-electron oxidation: possible benefits in cancer prevention.,Physical chemistry chemical physics : PCCP,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/31298243/
31280443,2019,Photochemical reaction kinetics and mechanistic investigations of nitrous acid with sulfamethazine in tropospheric water.,Environmental science and pollution research international,no radiation signal + off-topic term: chromatograph,https://pubmed.ncbi.nlm.nih.gov/31280443/
31233267,2019,Phosphorus Analogues of Methyl Nitrite and Nitromethane: CH3 OPO and CH3 PO2.,Angewandte Chemie (International ed. in English),no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/31233267/
31221409,2019,Pseudo skin flash on VMAT in breast radiotherapy: Optimization of virtual bolus thickness and HU values.,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/31221409/
31201327,2019,Chromoselective access to Z- or E- allylated amines and heterocycles by a photocatalytic allylation reaction.,Nature communications,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/31201327/
31162518,2019,Photoelimination of nitrogen from adamantane and pentacycloundecane (PCU) diazirines: a spectroscopic study and supramolecular control.,Photochemical & photobiological sciences : Official journal of the European Photochemistry Association and the European Society for Photobiology,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/31162518/
31105058,2019,Altered activation of integrin ɑIIbβ3 on platelets irradiated with ultraviolet C from pathogen-reducing xenon flash.,Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis,no topic keywords and no radiation signal,https://pubmed.ncbi.nlm.nih.gov/31105058/
31089158,2019,Phenomenological modelling of non-volatile memory threshold voltage shift induced by nonlinear ionization with a femtosecond laser.,Scientific reports,no radiation signal + off-topic term: semiconductor,https://pubmed.ncbi.nlm.nih.gov/31089158/
31087768,2019,"In regards to Bogue J, Wan J, Lavey RS, Parsai EI. Dosimetric comparison of VMAT with integrated skin flash to 3D field-in-field tangents for left breast irradiation. Journal of applied clinical medical physics. 2019 Feb;20(2):24-9.",Journal of applied clinical medical physics,aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/31087768/
31059596,2019,Laser-Induced Wurtz-Type Syntheses with a Metal-Free Photoredox Catalytic Source of Hydrated Electrons.,"Chemistry (Weinheim an der Bergstrasse, Germany)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/31059596/
31006410,2019,"Oxylipin concentration, but not fatty acid composition, is altered in human donor milk pasteurised using both thermal and non-thermal techniques.",The British journal of nutrition,no radiation signal + off-topic term: chromatograph,https://pubmed.ncbi.nlm.nih.gov/31006410/
30882197,2019,Intense Pulsed Light Annealing Process of Indium-Gallium-Zinc-Oxide Semiconductors via Flash White Light Combined with Deep-UV and Near-Infrared Drying for High-Performance Thin-Film Transistors.,ACS applied materials & interfaces,no radiation signal + off-topic term: semiconductor,https://pubmed.ncbi.nlm.nih.gov/30882197/
30876341,2019,Selectivity in the Photo-Fries Rearrangement of Some Aryl Benzoates in Green and Sustainable Media. Preparative and Mechanistic Studies.,The Journal of organic chemistry,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/30876341/
30869720,2019,Nanoscale investigation of improved triboelectric properties of UV-irradiated ultrananocrystalline diamond films.,Nanoscale,off-topic sense of 'flash': flash memory,https://pubmed.ncbi.nlm.nih.gov/30869720/
30820496,2019,Competing photochemical reactions of bis-naphthols and their photoinduced antiproliferative activity.,Photochemical & photobiological sciences : Official journal of the European Photochemistry Association and the European Society for Photobiology,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/30820496/
30811010,2019,Are the recorded data of flash glucose monitoring systems influenced by radiological examinations?,Radiological physics and technology,curator override: manually excluded,https://pubmed.ncbi.nlm.nih.gov/30811010/
30774874,2019,"Conformer-specific [1,2]H-tunnelling in captodatively-stabilized cyanohydroxycarbene (NC-C[combining umlaut]-OH).",Chemical science,off-topic title subject: carbene,https://pubmed.ncbi.nlm.nih.gov/30774874/
30770541,2019,High Hydrostatic Pressure Processing Better Preserves the Nutrient and Bioactive Compound Composition of Human Donor Milk.,The Journal of nutrition,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/30770541/
30724062,2019,Unveiling the Photophysical and Photochemical Reaction Process of Naproxen via Ultrafast Femtosecond to Nanosecond Laser Flash Photolysis.,Chemical research in toxicology,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/30724062/
30690232,2019,Photochemical degradation kinetics and mechanism of short-chain chlorinated paraffins in aqueous solution: A case of 1-chlorodecane.,"Environmental pollution (Barking, Essex : 1987)",no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/30690232/
30653831,2019,Dosimetric comparison of VMAT with integrated skin flash to 3D field-in-field tangents for left breast irradiation.,Journal of applied clinical medical physics,aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/30653831/
30411713,2019,Electron induced nanoscale engineering of rutile TiO2 surfaces.,Nanotechnology,no radiation signal + off-topic term: flash anneal,https://pubmed.ncbi.nlm.nih.gov/30411713/
30403297,2019,Quenching of the Singlet and Triplet Excited States of Pterin by Amino Acids.,Photochemistry and photobiology,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/30403297/
30389413,2019,Optimal selection of optimization bolus thickness in planning of VMAT breast radiotherapy treatments.,Medical dosimetry : official journal of the American Association of Medical Dosimetrists,aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/30389413/
30384293,2019,"Activation of peroxymonosulfate by BiOCl@Fe3O4 catalyst for the degradation of atenolol: Kinetics, parameters, products and mechanism.",Chemosphere,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/30384293/
30225812,2019,Distinct UV-A or UV-B irradiation induces protochlorophyllide photoreduction and bleaching in dark-grown pea (Pisum sativum L.) epicotyls.,Photosynthesis research,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/30225812/
29500108,2019,Integrated skin flash planning technique for intensity-modulated radiation therapy for vulvar cancer prevents marginal misses and improves superficial dose coverage.,Medical dosimetry : official journal of the American Association of Medical Dosimetrists,aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/29500108/
30460849,2018,Photocyclization of Tetra- and Pentapeptides Containing Adamantylphthalimide and Phenylalanines: Reaction Efficiency and Diastereoselectivity.,The Journal of organic chemistry,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/30460849/
35558941,2018,The first morphologically controlled synthesis of a nanocomposite of graphene oxide with cobalt tin oxide nanoparticles.,RSC advances,off-topic sense of 'flash': flash point,https://pubmed.ncbi.nlm.nih.gov/35558941/
30351095,2018,Decomposition of Sulfonyl Azide Isocyanate and Sulfonyl Diazide: The Oxygen-Shifted Curtius Rearrangement via Sulfonyl Nitrenes.,The journal of physical chemistry. A,off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/30351095/
30301345,2018,Methoxyphosphinidene and Isomeric Methylphosphinidene Oxide.,Journal of the American Chemical Society,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/30301345/
30266971,2018,Two step porosification of biomimetic thin-film hydroxyapatite/alpha-tri calcium phosphate coatings by pulsed electron beam irradiation.,Scientific reports,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/30266971/
30242274,2018,Guided Slow Continuous Suspension Film Flow for Mass Production of Submicrometer Spherical Particles by Pulsed Laser Melting in Liquid.,Scientific reports,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/30242274/
30187409,2018,Photochemical oxidation of di-n-butyl phthalate in atmospheric hydrometeors by hydroxyl radicals from nitrous acid.,Environmental science and pollution research international,no radiation signal + off-topic term: chromatograph,https://pubmed.ncbi.nlm.nih.gov/30187409/
30081214,2018,Photosensitisation by voriconazole-N-oxide results from a sequence of solvent and pH-dependent photochemical and thermal reactions.,"Journal of photochemistry and photobiology. B, Biology",no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/30081214/
29989805,2018,"Phenylsulfinyl Radical: Gas-Phase Generation, Photoisomerization, and Oxidation.",Journal of the American Chemical Society,off-topic title subject: photoisomeri,https://pubmed.ncbi.nlm.nih.gov/29989805/
29978548,2018,Dosimetric effects of anatomical deformations and positioning errors in VMAT breast radiotherapy.,Journal of applied clinical medical physics,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/29978548/
29959819,2018,Safety and benefit of using a virtual bolus during treatment planning for breast cancer treated with arc therapy.,Journal of applied clinical medical physics,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/29959819/
29940106,2018,Selective Wavelength Plasmonic Flash Light Welding of Silver Nanowires for Transparent Electrodes with High Conductivity.,ACS applied materials & interfaces,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/29940106/
29782667,2018,Synergies of Electrochemical Metallization and Valance Change in All-Inorganic Perovskite Quantum Dots for Resistive Switching.,"Advanced materials (Deerfield Beach, Fla.)",off-topic sense of 'flash': flash memory,https://pubmed.ncbi.nlm.nih.gov/29782667/
29709185,2018,Phosphorescence Kinetics of Singlet Oxygen Produced by Photosensitization in Spherical Nanoparticles. Part II. The Case of Hypericin-Loaded Low-Density Lipoprotein Particles.,The journal of physical chemistry. B,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/29709185/
29676024,2018,Multihydroxy-Anthraquinone Derivatives as Free Radical and Cationic Photoinitiators of Various Photopolymerizations under Green LED.,Macromolecular rapid communications,off-topic title subject: photopolymeri,https://pubmed.ncbi.nlm.nih.gov/29676024/
29642705,2018,Durian-Shaped CdS@ZnSe Core@Mesoporous-Shell Nanoparticles for Enhanced and Sustainable Photocatalytic Hydrogen Evolution.,The journal of physical chemistry letters,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/29642705/
29584951,2018,Reversible Valence Photoisomerization between Closed-Shell Quinoidal and Open-Shell Biradical Forms.,The journal of physical chemistry letters,off-topic title subject: photoisomeri,https://pubmed.ncbi.nlm.nih.gov/29584951/
29578623,2018,Spectroscopic Identification of H2 NSO and syn- and anti-HNSOH Radicals.,Angewandte Chemie (International ed. in English),off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/29578623/
29554524,2018,A mechanistic study on the potential of quinolinium salts as photocatalysts for the abatement of chlorinated pollutants.,Journal of hazardous materials,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/29554524/
29488999,2018,XUV photodesorption of carbon cluster ions and ionic photofragments from a mixed methane-water ice.,Physical chemistry chemical physics : PCCP,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/29488999/
29431286,2018,Spectroscopic Evidence for Aminomethylene (H-C̈-NH2 )-The Simplest Amino Carbene.,Angewandte Chemie (International ed. in English),off-topic title subject: carbene,https://pubmed.ncbi.nlm.nih.gov/29431286/
29426364,2018,RHBDD1 promotes colorectal cancer metastasis through the Wnt signaling pathway and its downstream target ZEB1.,Journal of experimental & clinical cancer research : CR,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/29426364/
29384165,2018,Photochemical transformation of dimethyl phthalate (DMP) with N(iii)(H2ONO+/HONO/NO2-) in the atmospheric aqueous environment.,Photochemical & photobiological sciences : Official journal of the European Photochemistry Association and the European Society for Photobiology,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/29384165/
29307182,2018,Photoinduced Sulfur-Nitrogen Bond Rotation and Thermal Nitrogen Inversion in Heterocumulene OSNSO.,Journal of the American Chemical Society,off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/29307182/
29271755,2018,Experimental study of EUV mirror radiation damage resistance under long-term free-electron laser exposures below the single-shot damage threshold.,Journal of synchrotron radiation,no radiation signal + off-topic term: thin film,https://pubmed.ncbi.nlm.nih.gov/29271755/
29198119,2018,Synthesis of Fluorescent Au Nanocrystals-Silica Hybrid Nanocomposite (FLASH) with Enhanced Optical Features for Bioimaging and Photodynamic Activity.,Langmuir : the ACS journal of surfaces and colloids,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/29198119/
29083511,2018,The Trifluoromethyl Sulfinyl and Oxathiyl Radicals.,"Chemistry (Weinheim an der Bergstrasse, Germany)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/29083511/
29225232,2017,"Effect of Ultraviolet Irradiation on Proton Transfer Facilitated by 5,10,15,20-Tetraphenyl-21H,23H-porphine and Its Metal Complexes at a Water/1,2-Dichloroethane Interface.",Analytical sciences : the international journal of the Japan Society for Analytical Chemistry,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/29225232/
29069546,2017,Contrasting Photolytic and Thermal Decomposition of Phenyl Azidoformate: The Curtius Rearrangement Versus Intramolecular C-H Amination.,The journal of physical chemistry. A,off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/29069546/
29067142,2017,Intermittent 96-Hour Auricular Electroacupuncture for Hot Flashes in Patients with Prostate Cancer: A Pilot Study.,Medical acupuncture,off-topic sense of 'flash': hot flash,https://pubmed.ncbi.nlm.nih.gov/29067142/
28963500,2017,"Rapid, cool sintering of wet processed yttria-stabilized zirconia ceramic electrolyte thin films.",Scientific reports,no radiation signal + off-topic term: thin film,https://pubmed.ncbi.nlm.nih.gov/28963500/
28923730,2017,Kinetics analysis of interfacial electron-transfer processes in goethite suspensions systems.,Chemosphere,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/28923730/
28872716,2017,"Parent Thioketene S-Oxide H2 CCSO: Gas-Phase Generation, Structure, and Bonding Analysis.","Chemistry (Weinheim an der Bergstrasse, Germany)",off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/28872716/
28848985,2017,Laser flash photolysis of nanocrystalline α-azido-p-methoxy-acetophenone.,Organic & biomolecular chemistry,off-topic sense of 'flash': flash photolysis of,https://pubmed.ncbi.nlm.nih.gov/28848985/
28786686,2017,Detection of Fleeting Amine Radical Cations and Elucidation of Chain Processes in Visible-Light-Mediated [3 + 2] Annulation by Online Mass Spectrometric Techniques.,Journal of the American Chemical Society,no radiation signal + off-topic term: photocatal,https://pubmed.ncbi.nlm.nih.gov/28786686/
28777569,2017,Direct Irradiaton of Aryl Sulfides: Homolytic Fragmentation and Sensitized S-Oxidation.,The Journal of organic chemistry,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/28777569/
28771351,2017,Photoinduced Reversible Electron Transfer Between the Benzhydryl Radical and Benzhydryl Cation in Amorphous Water-Ice.,The journal of physical chemistry. A,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/28771351/
28635174,2017,Flash Light Millisecond Self-Assembly of High χ Block Copolymers for Wafer-Scale Sub-10 nm Nanopatterning.,"Advanced materials (Deerfield Beach, Fla.)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/28635174/
28633106,2017,Selective photocytotoxicity of anthrols on cancer stem-like cells: The effect of quinone methides or reactive oxygen species.,European journal of medicinal chemistry,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/28633106/
28621378,2017,The hypothiocyanite radical OSCN and its isomers.,Physical chemistry chemical physics : PCCP,off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/28621378/
28553497,2017,"Mapping a protein recognition centre with chiral photoactive ligands. An integrated approach combining photophysics, reactivity, proteomics and molecular dynamics simulation studies.",Chemical science,no radiation signal + off-topic term: chromatograph,https://pubmed.ncbi.nlm.nih.gov/28553497/
28534631,2017,Photochemical Formation of Anthracene Quinone Methide Derivatives.,The Journal of organic chemistry,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/28534631/
28448151,2017,"Methoxysulfinyl Radical CH3OSO: Gas-Phase Generation, Photochemistry, and Oxidation.",The journal of physical chemistry. A,off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/28448151/
28417930,2017,Degradation of Methyl 2-Aminobenzoate (Methyl Anthranilate) by H₂O₂/UV: Effect of Inorganic Anions and Derived Radicals.,"Molecules (Basel, Switzerland)",no radiation signal + off-topic term: chromatograph,https://pubmed.ncbi.nlm.nih.gov/28417930/
28402291,2017,Multi-pulse flash light sintering of bimodal Cu nanoparticle-ink for highly conductive printed Cu electrodes.,Nanotechnology,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/28402291/
28290238,2017,Ra-226 bioaccumulation and growth indices in fish.,International journal of radiation biology,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/28290238/
28128823,2017,Trapping of excess energy in a nano-layered microenvironment to promote chemical reactions.,Physical chemistry chemical physics : PCCP,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/28128823/
28102389,2017,The decomposition of benzenesulfonyl azide: a matrix isolation and computational study.,Physical chemistry chemical physics : PCCP,off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/28102389/
27976779,2017,Parietin: an efficient photo-screening pigment in vivo with good photosensitizing and photodynamic antibacterial effects in vitro.,Photochemical & photobiological sciences : Official journal of the European Photochemistry Association and the European Society for Photobiology,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27976779/
25894933,2017,"Alternatives to conventional thermal treatments in fruit-juice processing. Part 2: Effect on composition, phytochemical content, and physicochemical, rheological, and organoleptic properties of fruit juices.",Critical reviews in food science and nutrition,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/25894933/
25849158,2017,Alternatives to conventional thermal treatments in fruit-juice processing. Part 1: Techniques and applications.,Critical reviews in food science and nutrition,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/25849158/
27778017,2017,"Hiding and unveiling trans-chalcone in a constrained derivative of 4',7-dihydroxyflavylium in water: a versatile photochromic system.",Organic & biomolecular chemistry,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27778017/
27755345,2017,Human Milk Processing: A Systematic Review of Innovative Techniques to Ensure the Safety and Quality of Donor Milk.,Journal of pediatric gastroenterology and nutrition,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27755345/
27750170,2017,Photochemical reaction between biphenyl and N(III) in the atmospheric aqueous phase.,Chemosphere,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/27750170/
27082285,2017,Vancomycin-sensitized photooxidation in the presence of the natural pigment vitamin B2: Interaction with excited states and photogenerated ROS.,Redox report : communications in free radical research,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27082285/
27958300,2016,Theoretical and Experimental Study of Light-assisted Polymerization by Multimechanism Action.,Scientific reports,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27958300/
27861167,2016,Photonic sintering via flash white light combined with deep UV and NIR for SrTiO3 thin film vibration touch panel applications.,Nanotechnology,no radiation signal + off-topic term: thin film,https://pubmed.ncbi.nlm.nih.gov/27861167/
27854298,2016,Diphenylcarbene Protected by Four ortho-Iodine Groups: An Unusually Persistent Triplet Carbene.,"Molecules (Basel, Switzerland)",off-topic sense of 'flash': flash photolysis of,https://pubmed.ncbi.nlm.nih.gov/27854298/
27842105,2016,Tuning laser plasma x-ray source for single shot microscopy using nano-porous targets.,Optics letters,off-topic sense of 'flash': flash point,https://pubmed.ncbi.nlm.nih.gov/27842105/
27812591,2016,Photochemical formation of quinone methides from peptides containing modified tyrosine.,Organic & biomolecular chemistry,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/27812591/
27669109,2016,"Split lesion randomized comparative study between long pulsed Nd:YAG laser 532 and 1,064 nm in treatment of facial port-wine stain.",Lasers in surgery and medicine,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27669109/
27711566,2016,Light-induced charge separation in a P3HT/PC70BM composite as studied by out-of-phase electron spin echo spectroscopy.,Physical chemistry chemical physics : PCCP,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27711566/
27739113,2016,Photochemistry of N-Arylsulfonimides: An Easily Available Class of Nonionic Photoacid Generators (PAGs).,"Chemistry (Weinheim an der Bergstrasse, Germany)",no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/27739113/
27722510,2016,Generation and characterization of the phenylthiyl radical and its oxidation to the phenylthiylperoxy and phenylsulfonyl radicals.,Physical chemistry chemical physics : PCCP,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27722510/
27621705,2016,Photosensitivity to Triflusal: Formation of a Photoadduct with Ubiquitin Demonstrated by Photophysical and Proteomic Techniques.,Frontiers in pharmacology,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27621705/
27575523,2016,Simplest N-Sulfonylamine HNSO2.,Journal of the American Chemical Society,off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/27575523/
27571139,2016,"Characterization of the DNA-Mediated Oxidation of Dps, A Bacterial Ferritin.",Journal of the American Chemical Society,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27571139/
27553755,2016,Welding of silver nanowire networks via flash white light and UV-C irradiation for highly conductive and reliable transparent electrodes.,Scientific reports,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27553755/
27489515,2016,Comparison of set-up errors by breast size on wing board by portal imaging.,Reports of practical oncology and radiotherapy : journal of Greatpoland Cancer Center in Poznan and Polish Society of Radiation Oncology,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/27489515/
27454932,2016,Photoswitchable diacylglycerols enable optical control of protein kinase C.,Nature chemical biology,no radiation signal + off-topic term: synaptic,https://pubmed.ncbi.nlm.nih.gov/27454932/
27280361,2016,Spin Crossover in Fe(II) Complexes with N4S2 Coordination.,Inorganic chemistry,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27280361/
27213674,2016,"Aqueous photodegradation of 4-tert-butylphenol: By-products, degradation pathway and theoretical calculation assessment.",The Science of the total environment,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27213674/
27187791,2016,Functional Green-Tuned Proteorhodopsin from Modern Stromatolites.,PloS one,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27187791/
27119974,2016,Convolution-based estimation of organ dose in tube current modulated CT.,Physics in medicine and biology,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/27119974/
27112630,2016,Blocking cyclobutane pyrimidine dimer formation by steric hindrance.,Organic & biomolecular chemistry,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27112630/
27088245,2016,"A Combined Experimental and Theoretical Approach to the Photogeneration of 5,6-Dihydropyrimidin-5-yl Radicals in Nonaqueous Media.",The Journal of organic chemistry,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27088245/
27061950,2016,Photoenolization of o-Methylvalerophenone Ester Derivative.,Photochemistry and photobiology,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/27061950/
